Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Bacteria_24k	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sor-CPnd_006-Ex1-2D-lcwgs-1-3.clmp.fp2_r1_screen	112904.0	13357.0	10759.0	7639.0	5019.0	1808.0	1728.0	435.0	19.0	0.0	354480.0	9514480.0
Sor-CPnd_006-Ex1-2D-lcwgs-1-3.clmp.fp2_r2_screen	111781.0	13160.0	10707.0	7624.0	5032.0	1675.0	1783.0	381.0	18.0	0.0	356989.0	9513478.0
Sor-CPnd_007-Ex1-1C-lcwgs-1-3.clmp.fp2_r1_screen	28936.0	3314.0	2703.0	1989.0	2383.0	398.0	394.0	120.0	7.0	0.0	100410.0	2741593.0
Sor-CPnd_007-Ex1-1C-lcwgs-1-3.clmp.fp2_r2_screen	28473.0	3324.0	2740.0	1967.0	2430.0	408.0	399.0	114.0	4.0	0.0	101083.0	2741305.0
Sor-CPnd_008-Ex1-1A-lcwgs-1-3.clmp.fp2_r1_screen	119390.0	15079.0	11925.0	8778.0	15755.0	2096.0	2047.0	512.0	35.0	0.0	424744.0	12119150.0
Sor-CPnd_008-Ex1-1A-lcwgs-1-3.clmp.fp2_r2_screen	118688.0	15323.0	11693.0	8710.0	15691.0	1994.0	1930.0	464.0	15.0	0.0	428397.0	12116606.0
Sor-CPnd_009-Ex1-6A-lcwgs-1-3.clmp.fp2_r1_screen	93626.0	11073.0	8602.0	6836.0	3642.0	1458.0	1409.0	361.0	20.0	0.0	306766.0	9470150.0
Sor-CPnd_009-Ex1-6A-lcwgs-1-3.clmp.fp2_r2_screen	93626.0	11203.0	8556.0	6715.0	3597.0	1413.0	1410.0	375.0	9.0	0.0	310851.0	9466188.0
Sor-CPnd_010-Ex1-1H-lcwgs-1-3.clmp.fp2_r1_screen	12235.0	1435.0	1205.0	892.0	511.0	207.0	206.0	36.0	1.0	0.0	39504.0	1182342.0
Sor-CPnd_010-Ex1-1H-lcwgs-1-3.clmp.fp2_r2_screen	12193.0	1481.0	1148.0	848.0	499.0	195.0	188.0	53.0	4.0	0.0	39747.0	1182218.0
Sor-CPnd_012-Ex1-5B-lcwgs-1-3.clmp.fp2_r1_screen	49307.0	5513.0	4533.0	3323.0	2216.0	731.0	743.0	170.0	12.0	0.0	157020.0	4513031.0
Sor-CPnd_012-Ex1-5B-lcwgs-1-3.clmp.fp2_r2_screen	49158.0	5538.0	4442.0	3344.0	2110.0	729.0	805.0	180.0	11.0	0.0	158198.0	4512084.0
Sor-CPnd_013-Ex1-7F-lcwgs-1-3.clmp.fp2_r1_screen	44624.0	4894.0	3991.0	2972.0	1876.0	703.0	629.0	158.0	7.0	0.0	139238.0	4073267.0
Sor-CPnd_013-Ex1-7F-lcwgs-1-3.clmp.fp2_r2_screen	44681.0	4937.0	3999.0	2994.0	1839.0	665.0	647.0	143.0	5.0	0.0	140464.0	4071985.0
Sor-CPnd_014-Ex1-1F-lcwgs-1-3.clmp.fp2_r1_screen	104932.0	11976.0	9871.0	7031.0	5028.0	1625.0	1581.0	345.0	13.0	0.0	330443.0	8798609.0
Sor-CPnd_014-Ex1-1F-lcwgs-1-3.clmp.fp2_r2_screen	104673.0	11910.0	9742.0	6978.0	4863.0	1527.0	1562.0	398.0	12.0	0.0	332107.0	8797682.0
Sor-CPnd_015-Ex1-5F-lcwgs-1-3.clmp.fp2_r1_screen	40424.0	4674.0	3631.0	2693.0	1849.0	569.0	593.0	146.0	9.0	0.0	129926.0	3741308.0
Sor-CPnd_015-Ex1-5F-lcwgs-1-3.clmp.fp2_r2_screen	40022.0	4622.0	3676.0	2767.0	1832.0	575.0	568.0	146.0	6.0	0.0	131085.0	3740523.0
Sor-CPnd_016-Ex1-1B-lcwgs-1-3.clmp.fp2_r1_screen	158579.0	19022.0	14722.0	11137.0	9048.0	2510.0	2454.0	607.0	23.0	0.0	535083.0	16058967.0
Sor-CPnd_016-Ex1-1B-lcwgs-1-3.clmp.fp2_r2_screen	157586.0	18440.0	14699.0	10957.0	9191.0	2524.0	2342.0	648.0	28.0	0.0	540132.0	16055605.0
Sor-CPnd_017-Ex1-3G-lcwgs-1-3.clmp.fp2_r1_screen	8370.0	941.0	781.0	572.0	348.0	118.0	122.0	36.0	1.0	0.0	26240.0	749225.0
Sor-CPnd_017-Ex1-3G-lcwgs-1-3.clmp.fp2_r2_screen	8289.0	930.0	784.0	558.0	355.0	126.0	121.0	34.0	0.0	0.0	26253.0	749304.0
Sor-CPnd_018-Ex1-1E-lcwgs-1-3.clmp.fp2_r1_screen	43434.0	4860.0	3996.0	2950.0	2619.0	628.0	626.0	154.0	12.0	0.0	139623.0	3827436.0
Sor-CPnd_018-Ex1-1E-lcwgs-1-3.clmp.fp2_r2_screen	43467.0	4868.0	4071.0	2859.0	2597.0	596.0	656.0	139.0	3.0	0.0	140853.0	3826229.0
Sor-CPnd_019-Ex1-6G-lcwgs-1-3.clmp.fp2_r1_screen	101986.0	11397.0	9434.0	6580.0	4171.0	1519.0	1591.0	331.0	21.0	0.0	331539.0	8129009.0
Sor-CPnd_019-Ex1-6G-lcwgs-1-3.clmp.fp2_r2_screen	101914.0	11343.0	9206.0	6613.0	4178.0	1467.0	1541.0	399.0	13.0	0.0	333614.0	8127290.0
Sor-CPnd_020-Ex1-2E-lcwgs-1-3.clmp.fp2_r1_screen	120064.0	14536.0	11361.0	8164.0	4656.0	1983.0	1955.0	473.0	24.0	0.0	384529.0	9652345.0
Sor-CPnd_020-Ex1-2E-lcwgs-1-3.clmp.fp2_r2_screen	119194.0	14583.0	11318.0	8021.0	4558.0	1981.0	1935.0	451.0	20.0	0.0	387724.0	9650305.0
Sor-CPnd_022-Ex1-7C-lcwgs-1-3.clmp.fp2_r1_screen	83477.0	9624.0	7564.0	5757.0	4065.0	1252.0	1315.0	308.0	15.0	0.0	266652.0	7455617.0
Sor-CPnd_022-Ex1-7C-lcwgs-1-3.clmp.fp2_r2_screen	83584.0	9648.0	7505.0	5745.0	4103.0	1262.0	1318.0	281.0	15.0	0.0	268919.0	7453266.0
Sor-CPnd_024-Ex1-5G-lcwgs-1-3.clmp.fp2_r1_screen	29259.0	3202.0	2668.0	1942.0	1816.0	473.0	451.0	85.0	6.0	0.0	95012.0	2515652.0
Sor-CPnd_024-Ex1-5G-lcwgs-1-3.clmp.fp2_r2_screen	29030.0	3137.0	2545.0	1850.0	1881.0	421.0	407.0	108.0	4.0	0.0	95531.0	2515652.0
Sor-CPnd_026-Ex1-3H-lcwgs-1-3.clmp.fp2_r1_screen	107357.0	12850.0	9789.0	7540.0	3946.0	1854.0	1772.0	412.0	20.0	0.0	338948.0	9403016.0
Sor-CPnd_026-Ex1-3H-lcwgs-1-3.clmp.fp2_r2_screen	107015.0	12699.0	9791.0	7390.0	3922.0	1812.0	1762.0	389.0	15.0	0.0	341671.0	9401038.0
Sor-CPnd_027-Ex1-3C-lcwgs-1-3.clmp.fp2_r1_screen	47881.0	6046.0	4460.0	3489.0	2064.0	804.0	773.0	175.0	8.0	0.0	158315.0	4512020.0
Sor-CPnd_027-Ex1-3C-lcwgs-1-3.clmp.fp2_r2_screen	48094.0	5988.0	4479.0	3418.0	2080.0	774.0	777.0	173.0	7.0	0.0	160119.0	4510126.0
Sor-CPnd_028-Ex1-3A-lcwgs-1-3.clmp.fp2_r1_screen	86142.0	10422.0	8141.0	6410.0	3168.0	1454.0	1371.0	326.0	11.0	0.0	287408.0	8190752.0
Sor-CPnd_028-Ex1-3A-lcwgs-1-3.clmp.fp2_r2_screen	85911.0	10567.0	8036.0	6298.0	3176.0	1392.0	1346.0	311.0	11.0	0.0	290384.0	8188173.0
Sor-CPnd_029-Ex1-8E-lcwgs-1-3.clmp.fp2_r1_screen	134555.0	15752.0	12456.0	9220.0	4975.0	2286.0	2264.0	473.0	22.0	0.0	432701.0	11027417.0
Sor-CPnd_029-Ex1-8E-lcwgs-1-3.clmp.fp2_r2_screen	133737.0	15949.0	12109.0	8943.0	5006.0	2248.0	2244.0	446.0	28.0	0.0	435159.0	11026252.0
Sor-CPnd_030-Ex1-2H-lcwgs-1-3.clmp.fp2_r1_screen	64259.0	7363.0	6009.0	4225.0	2751.0	1000.0	1040.0	194.0	10.0	0.0	204472.0	5257686.0
Sor-CPnd_030-Ex1-2H-lcwgs-1-3.clmp.fp2_r2_screen	63908.0	7539.0	6033.0	4277.0	2679.0	944.0	950.0	206.0	10.0	0.0	206442.0	5256021.0
Sor-CPnd_031-Ex1-5D-lcwgs-1-3.clmp.fp2_r1_screen	107027.0	12742.0	9885.0	7455.0	5007.0	1734.0	1656.0	392.0	22.0	1.0	337370.0	9777660.0
Sor-CPnd_031-Ex1-5D-lcwgs-1-3.clmp.fp2_r2_screen	107102.0	12555.0	9810.0	7338.0	4981.0	1641.0	1703.0	407.0	13.0	0.0	340820.0	9774581.0
Sor-CPnd_033-Ex1-2F-lcwgs-1-3.clmp.fp2_r1_screen	42219.0	5210.0	4032.0	2931.0	1777.0	713.0	686.0	147.0	3.0	0.0	132945.0	3676730.0
Sor-CPnd_033-Ex1-2F-lcwgs-1-3.clmp.fp2_r2_screen	42184.0	5120.0	3975.0	2961.0	1817.0	710.0	697.0	161.0	2.0	0.0	133809.0	3675957.0
Sor-CPnd_034-Ex1-4G-lcwgs-1-3.clmp.fp2_r1_screen	30145.0	3372.0	2757.0	1989.0	1615.0	423.0	477.0	116.0	2.0	0.0	98222.0	2688478.0
Sor-CPnd_034-Ex1-4G-lcwgs-1-3.clmp.fp2_r2_screen	30180.0	3269.0	2723.0	2059.0	1592.0	386.0	419.0	108.0	3.0	0.0	98662.0	2688195.0
Sor-CPnd_036-Ex1-5C-lcwgs-1-3.clmp.fp2_r1_screen	110773.0	13421.0	10071.0	7898.0	3934.0	1760.0	1738.0	367.0	35.0	0.0	344561.0	9660627.0
Sor-CPnd_036-Ex1-5C-lcwgs-1-3.clmp.fp2_r2_screen	110221.0	13159.0	10223.0	7819.0	3826.0	1707.0	1809.0	378.0	18.0	0.0	347429.0	9658596.0
Sor-CPnd_037-Ex1-6C-lcwgs-1-3.clmp.fp2_r1_screen	58557.0	6644.0	5328.0	3933.0	3140.0	931.0	915.0	225.0	15.0	0.0	201072.0	4996668.0
Sor-CPnd_037-Ex1-6C-lcwgs-1-3.clmp.fp2_r2_screen	58208.0	6489.0	5265.0	3953.0	3076.0	887.0	884.0	224.0	9.0	0.0	202292.0	4996141.0
Sor-CPnd_038-Ex1-2A-lcwgs-1-3.clmp.fp2_r1_screen	115002.0	14402.0	10492.0	8607.0	5004.0	1964.0	1893.0	503.0	35.0	0.0	381348.0	11312387.0
Sor-CPnd_038-Ex1-2A-lcwgs-1-3.clmp.fp2_r2_screen	114540.0	14415.0	10413.0	8459.0	5081.0	1969.0	1842.0	446.0	25.0	0.0	385615.0	11308832.0
Sor-CPnd_041-Ex1-7A-lcwgs-1-3.clmp.fp2_r1_screen	124371.0	14527.0	10561.0	9137.0	5553.0	1726.0	1818.0	397.0	16.0	0.0	381226.0	14337709.0
Sor-CPnd_041-Ex1-7A-lcwgs-1-3.clmp.fp2_r2_screen	124971.0	14130.0	10490.0	9055.0	5558.0	1708.0	1795.0	470.0	12.0	0.0	385609.0	14333243.0
Sor-CPnd_043-Ex1-1D-lcwgs-1-3.clmp.fp2_r1_screen	94063.0	11382.0	8777.0	6762.0	5215.0	1545.0	1535.0	331.0	21.0	0.0	302735.0	8180497.0
Sor-CPnd_043-Ex1-1D-lcwgs-1-3.clmp.fp2_r2_screen	93923.0	11224.0	8725.0	6579.0	5181.0	1476.0	1509.0	345.0	28.0	0.0	305099.0	8178774.0
Sor-CPnd_044-Ex1-8G-lcwgs-1-3.clmp.fp2_r1_screen	129677.0	14857.0	11631.0	8703.0	6450.0	1991.0	2025.0	451.0	23.0	0.0	406665.0	10793941.0
Sor-CPnd_044-Ex1-8G-lcwgs-1-3.clmp.fp2_r2_screen	128850.0	14668.0	11572.0	8481.0	6538.0	1888.0	1995.0	450.0	12.0	0.0	408019.0	10793941.0
Sor-CPnd_045-Ex1-7B-lcwgs-1-3.clmp.fp2_r1_screen	102706.0	12416.0	9515.0	7424.0	3792.0	1699.0	1745.0	365.0	27.0	0.0	327069.0	9769142.0
Sor-CPnd_045-Ex1-7B-lcwgs-1-3.clmp.fp2_r2_screen	102434.0	12233.0	9284.0	7314.0	3834.0	1640.0	1703.0	382.0	21.0	0.0	329960.0	9767095.0
Sor-CPnd_046-Ex1-5A-lcwgs-1-3.clmp.fp2_r1_screen	33373.0	3952.0	2975.0	2401.0	1675.0	521.0	480.0	135.0	4.0	0.0	107024.0	3267631.0
Sor-CPnd_046-Ex1-5A-lcwgs-1-3.clmp.fp2_r2_screen	33580.0	3877.0	2906.0	2527.0	1685.0	459.0	469.0	132.0	0.0	0.0	107931.0	3266605.0
Sor-CPnd_049-Ex1-3B-lcwgs-1-3.clmp.fp2_r1_screen	25758.0	3133.0	2253.0	1805.0	1410.0	382.0	368.0	90.0	6.0	0.0	82655.0	2433210.0
Sor-CPnd_049-Ex1-3B-lcwgs-1-3.clmp.fp2_r2_screen	25357.0	3062.0	2295.0	1809.0	1435.0	359.0	377.0	95.0	1.0	0.0	83580.0	2432700.0
Sor-CPnd_050-Ex1-3F-lcwgs-1-3.clmp.fp2_r1_screen	91424.0	10664.0	8353.0	6389.0	3712.0	1500.0	1513.0	349.0	20.0	0.0	291551.0	8204329.0
Sor-CPnd_050-Ex1-3F-lcwgs-1-3.clmp.fp2_r2_screen	91357.0	10715.0	8247.0	6407.0	3717.0	1437.0	1380.0	344.0	17.0	0.0	293578.0	8202605.0
Sor-CPnd_052-Ex1-6D-lcwgs-1-3.clmp.fp2_r1_screen	68810.0	7844.0	6250.0	4697.0	2837.0	1090.0	1082.0	233.0	9.0	0.0	216804.0	5846512.0
Sor-CPnd_052-Ex1-6D-lcwgs-1-3.clmp.fp2_r2_screen	67705.0	7760.0	6064.0	4528.0	2916.0	1080.0	1048.0	252.0	12.0	0.0	218906.0	5845897.0
Sor-CPnd_053-Ex1-2C-lcwgs-1-3.clmp.fp2_r1_screen	52877.0	6282.0	4955.0	3753.0	2333.0	851.0	863.0	226.0	8.0	0.0	173706.0	4700895.0
Sor-CPnd_053-Ex1-2C-lcwgs-1-3.clmp.fp2_r2_screen	52249.0	6184.0	4855.0	3779.0	2320.0	793.0	804.0	188.0	12.0	0.0	175165.0	4700400.0
Sor-CPnd_054-Ex1-8F-lcwgs-1-3.clmp.fp2_r1_screen	22528.0	2547.0	1991.0	1553.0	1127.0	302.0	337.0	93.0	2.0	0.0	74063.0	2110338.0
Sor-CPnd_054-Ex1-8F-lcwgs-1-3.clmp.fp2_r2_screen	22508.0	2515.0	2050.0	1592.0	1096.0	327.0	341.0	94.0	2.0	0.0	74461.0	2109895.0
Sor-CPnd_055-Ex1-7G-lcwgs-1-3.clmp.fp2_r1_screen	98097.0	11209.0	8833.0	6471.0	4383.0	1469.0	1575.0	315.0	16.0	0.0	307584.0	7940072.0
Sor-CPnd_055-Ex1-7G-lcwgs-1-3.clmp.fp2_r2_screen	98241.0	11052.0	8715.0	6569.0	4314.0	1439.0	1547.0	290.0	12.0	0.0	310287.0	7937558.0
Sor-CPnd_058-Ex1-2G-lcwgs-1-3.clmp.fp2_r1_screen	55413.0	6589.0	5150.0	3736.0	1940.0	917.0	909.0	210.0	13.0	0.0	175909.0	4325585.0
Sor-CPnd_058-Ex1-2G-lcwgs-1-3.clmp.fp2_r2_screen	55538.0	6467.0	5135.0	3724.0	1921.0	912.0	864.0	179.0	6.0	0.0	176040.0	4325585.0
Sor-CPnd_063-Ex1-7D-lcwgs-1-3.clmp.fp2_r1_screen	103307.0	11803.0	9265.0	6972.0	4276.0	1549.0	1565.0	411.0	22.0	0.0	323378.0	8919755.0
Sor-CPnd_063-Ex1-7D-lcwgs-1-3.clmp.fp2_r2_screen	103335.0	11849.0	9168.0	6982.0	4247.0	1550.0	1491.0	388.0	13.0	0.0	326340.0	8916940.0
Sor-CPnd_066-Ex1-8B-lcwgs-1-3.clmp.fp2_r1_screen	2786.0	318.0	232.0	177.0	156.0	51.0	33.0	14.0	0.0	0.0	8956.0	250136.0
Sor-CPnd_066-Ex1-8B-lcwgs-1-3.clmp.fp2_r2_screen	2725.0	271.0	220.0	195.0	155.0	46.0	34.0	8.0	0.0	0.0	9095.0	250110.0
Sor-CPnd_069-Ex1-6B-lcwgs-1-3.clmp.fp2_r1_screen	51067.0	6120.0	4854.0	3684.0	2103.0	854.0	796.0	200.0	12.0	0.0	176162.0	4740997.0
Sor-CPnd_069-Ex1-6B-lcwgs-1-3.clmp.fp2_r2_screen	51026.0	5868.0	4780.0	3648.0	2094.0	828.0	768.0	229.0	12.0	0.0	177597.0	4739999.0
Sor-CPnd_072-Ex1-8C-lcwgs-1-3.clmp.fp2_r1_screen	129068.0	15257.0	11552.0	8706.0	5959.0	2124.0	2027.0	497.0	20.0	0.0	429688.0	11468913.0
Sor-CPnd_072-Ex1-8C-lcwgs-1-3.clmp.fp2_r2_screen	128199.0	14956.0	11601.0	8631.0	6029.0	2001.0	1961.0	489.0	20.0	0.0	433426.0	11466498.0
