Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Sor-ACeb_017-Ex1-12F-lcwgs-1-3-L3-clmp.fp2_r2_screen	104477.0	108200.0	15004.0	6702.0	4989.0	844.0	716.0	354.0	4.0	0.0	0.0	486943.0	8443465.0
Sor-ACeb_018-Ex1-1G-lcwgs-1-3-L2-clmp.fp2_r1_screen	420722.0	509630.0	53303.0	34762.0	24876.0	5126.0	4536.0	1385.0	59.0	0.0	0.0	2651129.0	34813464.0
Sor-ACeb_018-Ex1-1G-lcwgs-1-3-L2-clmp.fp2_r2_screen	420303.0	513879.0	52735.0	34666.0	24261.0	4880.0	4271.0	1376.0	39.0	0.0	0.0	2656821.0	34805761.0
Sor-ACeb_018-Ex1-1G-lcwgs-1-3-L3-clmp.fp2_r1_screen	388091.0	453030.0	47666.0	31123.0	22114.0	4614.0	4079.0	1252.0	36.0	0.0	0.0	2330009.0	31265495.0
Sor-ACeb_018-Ex1-1G-lcwgs-1-3-L3-clmp.fp2_r2_screen	386987.0	452193.0	47182.0	30843.0	21889.0	4438.0	4051.0	1366.0	51.0	0.0	0.0	2329559.0	31268950.0
Sor-ACeb_019-Ex1-3G-lcwgs-1-3-L2-clmp.fp2_r1_screen	381.0	554.0	48.0	48.0	28.0	4.0	4.0	3.0	1.0	0.0	0.0	1851.0	46091.0
Sor-ACeb_019-Ex1-3G-lcwgs-1-3-L2-clmp.fp2_r2_screen	406.0	534.0	46.0	51.0	18.0	5.0	2.0	4.0	0.0	0.0	0.0	1846.0	46101.0
Sor-ACeb_019-Ex1-3G-lcwgs-1-3-L3-clmp.fp2_r1_screen	127.0	175.0	16.0	13.0	6.0	2.0	2.0	0.0	0.0	0.0	0.0	611.0	14217.0
Sor-ACeb_019-Ex1-3G-lcwgs-1-3-L3-clmp.fp2_r2_screen	117.0	163.0	16.0	10.0	7.0	1.0	2.0	0.0	0.0	0.0	0.0	619.0	14234.0
Sor-ACeb_020-Ex1-2G-lcwgs-1-3-L2-clmp.fp2_r1_screen	32110.0	3186.0	588.0	351.0	74.0	21.0	16.0	49.0	0.0	0.0	0.0	66948.0	214633.0
Sor-ACeb_020-Ex1-2G-lcwgs-1-3-L2-clmp.fp2_r2_screen	32103.0	3244.0	589.0	333.0	60.0	15.0	10.0	57.0	0.0	0.0	0.0	66900.0	214665.0
Sor-ACeb_020-Ex1-2G-lcwgs-1-3-L3-clmp.fp2_r1_screen	27838.0	2686.0	503.0	316.0	43.0	10.0	9.0	50.0	0.0	0.0	0.0	41570.0	177833.0
Sor-ACeb_020-Ex1-2G-lcwgs-1-3-L3-clmp.fp2_r2_screen	27860.0	2696.0	513.0	292.0	66.0	11.0	9.0	52.0	0.0	0.0	0.0	41451.0	177908.0
Sor-ACeb_021-Ex1-4G-lcwgs-1-3-L2-clmp.fp2_r1_screen	157.0	126.0	19.0	10.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	547.0	11102.0
Sor-ACeb_021-Ex1-4G-lcwgs-1-3-L2-clmp.fp2_r2_screen	153.0	117.0	13.0	9.0	7.0	1.0	0.0	1.0	0.0	0.0	0.0	543.0	11125.0
Sor-ACeb_021-Ex1-4G-lcwgs-1-3-L3-clmp.fp2_r1_screen	66.0	44.0	6.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	3295.0
Sor-ACeb_021-Ex1-4G-lcwgs-1-3-L3-clmp.fp2_r2_screen	61.0	38.0	7.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	175.0	3290.0
Sor-ACeb_022-Ex1-5G-lcwgs-1-3-L2-clmp.fp2_r1_screen	696066.0	93132.0	23019.0	9472.0	3641.0	1470.0	1039.0	808.0	12.0	1.0	0.0	494959.0	4598610.0
Sor-ACeb_022-Ex1-5G-lcwgs-1-3-L2-clmp.fp2_r2_screen	695826.0	93718.0	22889.0	9172.0	3600.0	1343.0	980.0	837.0	6.0	0.0	0.0	492879.0	4600979.0
Sor-ACeb_022-Ex1-5G-lcwgs-1-3-L3-clmp.fp2_r1_screen	621883.0	78820.0	20167.0	7991.0	3111.0	1296.0	954.0	717.0	9.0	0.0	1.0	426831.0	3874110.0
Sor-ACeb_022-Ex1-5G-lcwgs-1-3-L3-clmp.fp2_r2_screen	621745.0	79366.0	19962.0	7892.0	3089.0	1260.0	882.0	748.0	11.0	0.0	0.0	425818.0	3875117.0
