origFileNames newFileNames lane
SoA0102109B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_021-Ex1-9B-lcwgs-1-T.1.fq.gz L4
SoA0102205G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACeb_022-Ex1-5G-lcwgs-1-T.1.fq.gz L4
SoA0102210B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_022-Ex1-10B-lcwgs-1-T.1.fq.gz L4
SoA0102311B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_023-Ex1-11B-lcwgs-1-T.1.fq.gz L4
SoA0102412B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_024-Ex1-12B-lcwgs-1-T.1.fq.gz L4
SoA0102501C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_025-Ex1-1C-lcwgs-1-T.1.fq.gz L4
SoA0102602C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_026-Ex1-2C-lcwgs-1-T.1.fq.gz L4
SoA0102703C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_027-Ex1-3C-lcwgs-1-T.1.fq.gz L4
SoA0102804C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_028-Ex1-4C-lcwgs-1-T.1.fq.gz L4
SoA0102905C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_029-Ex1-5C-lcwgs-1-T.1.fq.gz L4
SoA0103006C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_030-Ex1-6C-lcwgs-1-T.1.fq.gz L4
SoA0103107C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_031-Ex1-7C-lcwgs-1-T.1.fq.gz L4
SoA0103208C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_032-Ex1-8C-lcwgs-1-T.1.fq.gz L4
SoA0103309C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_033-Ex1-9C-lcwgs-1-T.1.fq.gz L4
SoA0103410C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_034-Ex1-10C-lcwgs-1-T.1.fq.gz L4
SoA0103511C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_035-Ex1-11C-lcwgs-1-T.1.fq.gz L4
SoA0103612C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_036-Ex1-12C-lcwgs-1-T.1.fq.gz L4
SoA0103701D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_037-Ex1-1D-lcwgs-1-T.1.fq.gz L4
SoA0103802D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_038-Ex1-2D-lcwgs-1-T.1.fq.gz L4
SoA0103903D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_039-Ex1-3D-lcwgs-1-T.1.fq.gz L4
SoA0104004D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_040-Ex1-4D-lcwgs-1-T.1.fq.gz L4
SoA0104105D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_041-Ex1-5D-lcwgs-1-T.1.fq.gz L4
SoA0104206D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_042-Ex1-6D-lcwgs-1-T.1.fq.gz L4
SoA0104307D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_043-Ex1-7D-lcwgs-1-T.1.fq.gz L4
SoA0104408D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_044-Ex1-8D-lcwgs-1-T.1.fq.gz L4
SoA0104509D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_045-Ex1-9D-lcwgs-1-T.1.fq.gz L4
SoA0104610D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_046-Ex1-10D-lcwgs-1-T.1.fq.gz L4
SoA0104711D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_047-Ex1-11D-lcwgs-1-T.1.fq.gz L4
SoA0104812D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_048-Ex1-12D-lcwgs-1-T.1.fq.gz L4
SoA0104901E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_049-Ex1-1E-lcwgs-1-T.1.fq.gz L4
SoA0105002E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_050-Ex1-2E-lcwgs-1-T.1.fq.gz L4
SoA0105103E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_051-Ex1-3E-lcwgs-1-T.1.fq.gz L4
SoA0105204E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_052-Ex1-4E-lcwgs-1-T.1.fq.gz L4
SoA0105305E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_053-Ex1-5E-lcwgs-1-T.1.fq.gz L4
SoA0105406E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_054-Ex1-6E-lcwgs-1-T.1.fq.gz L4
SoA0105507E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-ACan_055-Ex1-7E-lcwgs-1-T.1.fq.gz L4
SoC0100102C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_001-Ex1-2C-lcwgs-1-T.1.fq.gz L4
SoC0100301G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_003-Ex1-1G-lcwgs-1-T.1.fq.gz L4
SoC0100401H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_004-Ex1-1H-lcwgs-1-T.1.fq.gz L4
SoC0100508H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_005-Ex1-8H-lcwgs-1-T.1.fq.gz L4
SoC0100903H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_009-Ex1-3H-lcwgs-1-T.1.fq.gz L4
SoC0101002H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_010-Ex1-2H-lcwgs-1-T.1.fq.gz L4
SoC0101105F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_011-Ex1-5F-lcwgs-1-T.1.fq.gz L4
SoC0101203E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_012-Ex1-3E-lcwgs-1-T.1.fq.gz L4
SoC0101306B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_013-Ex1-6B-lcwgs-1-T.1.fq.gz L4
SoC0101406H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_014-Ex1-6H-lcwgs-1-T.1.fq.gz L4
SoC0101502D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_015-Ex1-2D-lcwgs-1-T.1.fq.gz L4
SoC0101606G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_016-Ex1-6G-lcwgs-1-T.1.fq.gz L4
SoC0102007D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_020-Ex1-7D-lcwgs-1-T.1.fq.gz L4
SoC0102105C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_021-Ex1-5C-lcwgs-1-T.1.fq.gz L4
SoC0102201A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_022-Ex1-1A-lcwgs-1-T.1.fq.gz L4
SoC0102305E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_023-Ex1-5E-lcwgs-1-T.1.fq.gz L4
SoC0102508B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_025-Ex1-8B-lcwgs-1-T.1.fq.gz L4
SoC0102802E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_028-Ex1-2E-lcwgs-1-T.1.fq.gz L4
SoC0103303A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_033-Ex1-3A-lcwgs-1-T.1.fq.gz L4
SoC0103403C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_034-Ex1-3C-lcwgs-1-T.1.fq.gz L4
SoC0103603F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_036-Ex1-3F-lcwgs-1-T.1.fq.gz L4
SoC0103705A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_037-Ex1-5A-lcwgs-1-T.1.fq.gz L4
SoC0104004B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_040-Ex1-4B-lcwgs-1-T.1.fq.gz L4
SoC0104107F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_041-Ex1-7F-lcwgs-1-T.1.fq.gz L4
SoC0104206C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_042-Ex1-6C-lcwgs-1-T.1.fq.gz L4
SoC0104301B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_043-Ex1-1B-lcwgs-1-T.1.fq.gz L4
SoC0104406A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_044-Ex1-6A-lcwgs-1-T.1.fq.gz L4
SoC0104602A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_046-Ex1-2A-lcwgs-1-T.1.fq.gz L4
SoC0104907B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_049-Ex1-7B-lcwgs-1-T.1.fq.gz L4
SoC0105006D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_050-Ex1-6D-lcwgs-1-T.1.fq.gz L4
SoC0105108D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_051-Ex1-8D-lcwgs-1-T.1.fq.gz L4
SoC0105205B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_052-Ex1-5B-lcwgs-1-T.1.fq.gz L4
SoC0105308F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_053-Ex1-8F-lcwgs-1-T.1.fq.gz L4
SoC0105407A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_054-Ex1-7A-lcwgs-1-T.1.fq.gz L4
SoC0105502G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_055-Ex1-2G-lcwgs-1-T.1.fq.gz L4
SoC0105808C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_058-Ex1-8C-lcwgs-1-T.1.fq.gz L4
SoC0105903G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_059-Ex1-3G-lcwgs-1-T.1.fq.gz L4
SoC0106206E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_062-Ex1-6E-lcwgs-1-T.1.fq.gz L4
SoC0106404D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_064-Ex1-4D-lcwgs-1-T.1.fq.gz L4
SoC0106501F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_065-Ex1-1F-lcwgs-1-T.1.fq.gz L4
SoC0106603B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_066-Ex1-3B-lcwgs-1-T.1.fq.gz L4
SoC0106704H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_067-Ex1-4H-lcwgs-1-T.1.fq.gz L4
SoC0106806F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_068-Ex1-6F-lcwgs-1-T.1.fq.gz L4
SoC0106905D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_069-Ex1-5D-lcwgs-1-T.1.fq.gz L4
SoC0107001E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_070-Ex1-1E-lcwgs-1-T.1.fq.gz L4
SoC0107104G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_071-Ex1-4G-lcwgs-1-T.1.fq.gz L4
SoC0107307H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_073-Ex1-7H-lcwgs-1-T.1.fq.gz L4
SoC0107505H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_075-Ex1-5H-lcwgs-1-T.1.fq.gz L4
SoC0107602B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_076-Ex1-2B-lcwgs-1-T.1.fq.gz L4
SoC0107708E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_077-Ex1-8E-lcwgs-1-T.1.fq.gz L4
SoC0107805G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_078-Ex1-5G-lcwgs-1-T.1.fq.gz L4
SoC0107908G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_079-Ex1-8G-lcwgs-1-T.1.fq.gz L4
SoC0108002F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_080-Ex1-2F-lcwgs-1-T.1.fq.gz L4
SoC0108108A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_081-Ex1-8A-lcwgs-1-T.1.fq.gz L4
SoC0108204C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_082-Ex1-4C-lcwgs-1-T.1.fq.gz L4
SoC0108404A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_084-Ex1-4A-lcwgs-1-T.1.fq.gz L4
SoC0108507E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_085-Ex1-7E-lcwgs-1-T.1.fq.gz L4
SoC0108601D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_086-Ex1-1D-lcwgs-1-T.1.fq.gz L4
SoC0108701C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_087-Ex1-1C-lcwgs-1-T.1.fq.gz L4
SoC0108804F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_088-Ex1-4F-lcwgs-1-T.1.fq.gz L4
SoC0108904E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_089-Ex1-4E-lcwgs-1-T.1.fq.gz L4
SoC0109107C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_091-Ex1-7C-lcwgs-1-T.1.fq.gz L4
SoC0109307G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_093-Ex1-7G-lcwgs-1-T.1.fq.gz L4
SoC0109603D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CBur_096-Ex1-3D-lcwgs-1-T.1.fq.gz L4
SoC0600103E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_001-Ex1-3E-lcwgs-1-T.1.fq.gz L4
SoC0600205E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_002-Ex1-5E-lcwgs-1-T.1.fq.gz L4
SoC0600302B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_003-Ex1-2B-lcwgs-1-T.1.fq.gz L4
SoC0600401G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_004-Ex1-1G-lcwgs-1-T.1.fq.gz L4
SoC0600503D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_005-Ex1-3D-lcwgs-1-T.1.fq.gz L4
SoC0600602D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_006-Ex1-2D-lcwgs-1-T.1.fq.gz L4
SoC0600701C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_007-Ex1-1C-lcwgs-1-T.1.fq.gz L4
SoC0600801A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_008-Ex1-1A-lcwgs-1-T.1.fq.gz L4
SoC0600906A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_009-Ex1-6A-lcwgs-1-T.1.fq.gz L4
SoC0601001H_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_010-Ex1-1H-lcwgs-1-T.1.fq.gz L4
SoC0601108D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_011-Ex1-8D-lcwgs-1-T.1.fq.gz L4
SoC0601205B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_012-Ex1-5B-lcwgs-1-T.1.fq.gz L4
SoC0601307F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_013-Ex1-7F-lcwgs-1-T.1.fq.gz L4
SoC0601401F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_014-Ex1-1F-lcwgs-1-T.1.fq.gz L4
SoC0601505F_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_015-Ex1-5F-lcwgs-1-T.1.fq.gz L4
SoC0601601B_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_016-Ex1-1B-lcwgs-1-T.1.fq.gz L4
SoC0601703G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_017-Ex1-3G-lcwgs-1-T.1.fq.gz L4
SoC0601801E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_018-Ex1-1E-lcwgs-1-T.1.fq.gz L4
SoC0601906G_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_019-Ex1-6G-lcwgs-1-T.1.fq.gz L4
SoC0602002E_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_020-Ex1-2E-lcwgs-1-T.1.fq.gz L4
SoC0602104D_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_021-Ex1-4D-lcwgs-1-T.1.fq.gz L4
SoC0602207C_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_022-Ex1-7C-lcwgs-1-T.1.fq.gz L4
SoC0602304A_CKDL220033557-1A_HJFC3CCX2_L4_1.fq.gz Sor-CPnd_023-Ex1-4A-lcwgs-1-T.1.fq.gz L4
